Date,Open,High,Low,Close,Adj Close,Volume
2017-11-27,621.29,621.29,621.29,621.29,621.29,36301200
2017-11-28,648.23,648.23,648.23,648.23,648.23,36301200
2017-11-29,638.12,638.12,638.12,638.12,638.12,36301200
2017-11-30,631,631,631,631,631,36301200
2017-12-01,622.35,622.35,622.35,622.35,622.35,36301200
2017-12-04,637.79,637.79,637.79,637.79,637.79,36301200
2017-12-05,632.96,632.96,632.96,632.96,632.96,36301200
2017-12-06,625.01,625.01,625.01,625.01,625.01,36301200
2017-12-07,616.69,616.69,616.69,616.69,616.69,36301200
2017-12-08,627.28,627.28,627.28,627.28,627.28,36301200
2017-12-11,650.99,650.99,650.99,650.99,650.99,36301200
2017-12-12,651.32,651.32,651.32,651.32,651.32,36301200
2017-12-13,668.21,668.21,668.21,668.21,668.21,36301200
2017-12-14,664.55,664.55,664.55,664.55,664.55,36301200
2017-12-15,653.79,653.79,653.79,653.79,653.79,36301200
2017-12-18,665.77,665.77,665.77,665.77,665.77,36301200
2017-12-19,667.09,667.09,667.09,667.09,667.09,36301200
2017-12-20,684.91,684.91,684.91,684.91,684.91,36301200
2017-12-21,681.74,681.74,681.74,681.74,681.74,36301200
2017-12-22,682.92,682.92,682.92,682.92,682.92,36301200
2017-12-25,688.12,688.12,688.12,688.12,688.12,36301200
2017-12-26,680.81,680.81,680.81,680.81,680.81,36301200
2017-12-27,664.18,664.18,664.18,664.18,664.18,36301200
2017-12-28,718.69,718.69,718.69,718.69,718.69,36301200
2017-12-29,697.49,697.49,697.49,697.49,697.49,36301200
2018-01-02,703.85,703.85,703.85,703.85,703.85,36301200
2018-01-03,715.86,715.86,715.86,715.86,715.86,36301200
2018-01-04,737.07,737.07,737.07,737.07,737.07,36301200
2018-01-05,738.36,738.36,738.36,738.36,738.36,36301200
2018-01-08,752.13,752.13,752.13,752.13,752.13,36301200
2018-01-09,782.52,782.52,782.52,782.52,782.52,36301200
2018-01-10,785.71,785.71,785.71,785.71,785.71,36301200
2018-01-11,774.81,774.81,774.81,774.81,774.81,36301200
2018-01-12,788.42,788.42,788.42,788.42,788.42,36301200
2018-01-15,785.37,785.37,785.37,785.37,785.37,36301200
2018-01-16,772.94,772.94,772.94,772.94,772.94,36301200
2018-01-17,747.93,747.93,747.93,747.93,747.93,36301200
2018-01-18,750.74,750.74,750.74,750.74,750.74,36301200
2018-01-19,750.18,750.18,750.18,750.18,750.18,36301200
2018-01-22,773.64,773.64,773.64,773.64,773.64,36301200
2018-01-23,773.78,773.78,773.78,773.78,773.78,36301200
2018-01-24,764.46,764.46,764.46,764.46,764.46,36301200
2018-01-25,769.16,769.16,769.16,769.16,769.16,36301200
2018-01-26,777.22,777.22,777.22,777.22,777.22,36301200
2018-01-29,736.32,736.32,736.32,736.32,736.32,36301200
2018-01-30,742.08,742.08,742.08,742.08,742.08,36301200
2018-01-31,764.54,764.54,764.54,764.54,764.54,36301200
2018-02-01,757.73,757.73,757.73,757.73,757.73,36301200
2018-02-02,740.4,740.4,740.4,740.4,740.4,36301200
2018-02-05,718.23,718.23,718.23,718.23,718.23,36301200
2018-02-06,708.86,708.86,708.86,708.86,708.86,36301200
2018-02-07,683.43,683.43,683.43,683.43,683.43,36301200
2018-02-08,700.99,700.99,700.99,700.99,700.99,36301200
2018-02-09,683.43,683.43,683.43,683.43,683.43,36301200
2018-02-12,697.48,697.48,697.48,697.48,697.48,36301200
2018-02-13,711.98,711.98,711.98,711.98,711.98,36301200
2018-02-14,718.45,718.45,718.45,718.45,718.45,36301200
2018-02-22,742.45,742.45,742.45,742.45,742.45,36301200
2018-02-23,742.48,742.48,742.48,742.48,742.48,36301200
2018-02-26,743.51,743.51,743.51,743.51,743.51,36301200
2018-02-27,737.98,737.98,737.98,737.98,737.98,36301200
2018-02-28,725.62,725.62,725.62,725.62,725.62,36301200
2018-03-01,741.97,741.97,741.97,741.97,741.97,36301200
2018-03-02,736.41,736.41,736.41,736.41,736.41,36301200
2018-03-05,720.11,720.11,720.11,720.11,720.11,36301200
2018-03-06,718.26,718.26,718.26,718.26,718.26,36301200
2018-03-07,710.04,710.04,710.04,710.04,710.04,36301200
2018-03-08,722.76,722.76,722.76,722.76,722.76,36301200
2018-03-09,728.2,728.2,728.2,728.2,728.2,36301200
2018-03-12,723.95,723.95,723.95,723.95,723.95,36301200
2018-03-13,710.35,710.35,710.35,710.35,710.35,36301200
2018-03-14,726.88,726.88,726.88,726.88,726.88,36301200
2018-03-15,746.47,746.47,746.47,746.47,746.47,36301200
2018-03-16,739.85,739.85,739.85,739.85,739.85,36301200
2018-03-19,753.48,753.48,753.48,753.48,753.48,36301200
2018-03-20,747.73,747.73,747.73,747.73,747.73,36301200
2018-03-21,742,742,742,742,742,36301200
2018-03-22,726.08,726.08,726.08,726.08,726.08,36301200
2018-03-23,711.06,711.06,711.06,711.06,711.06,36301200
2018-03-26,713.49,713.49,713.49,713.49,713.49,36301200
2018-03-27,714.74,714.74,714.74,714.74,714.74,36301200
2018-03-28,682.05,682.05,682.05,682.05,682.05,36301200
2018-03-29,689.1,689.1,689.1,689.1,689.1,36301200
2018-03-30,683.62,683.62,683.62,683.62,683.62,36301200
2018-04-02,680.06,680.06,680.06,680.06,680.06,36301200
2018-04-03,677.91,677.91,677.91,677.91,677.91,36301200
2018-04-04,694.01,694.01,694.01,694.01,694.01,36301200
2018-04-09,698.3,698.3,698.3,698.3,698.3,36301200
2018-04-10,708.02,708.02,708.02,708.02,708.02,36301200
2018-04-11,705.36,705.36,705.36,705.36,705.36,36301200
2018-04-12,694.2,694.2,694.2,694.2,694.2,36301200
2018-04-13,686.86,686.86,686.86,686.86,686.86,36301200
2018-04-16,681.38,681.38,681.38,681.38,681.38,36301200
2018-04-17,666.2,666.2,666.2,666.2,666.2,36301200
2018-04-18,655.64,655.64,655.64,655.64,655.64,36301200
2018-04-19,679.96,679.96,679.96,679.96,679.96,36301200
2018-04-20,670.26,670.26,670.26,670.26,670.26,36301200
